"FriendlyName","Name","Class","Status","InstanceId","HID"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\10","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\10","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\10","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","*GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","ACPI\GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","*GenuineIntel_-_Intel64_Family_6_Model_85"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","ACPI\GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","*GenuineIntel_-_Intel64_Family_6"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","ACPI\GenuineIntel_-_Intel64"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","*GenuineIntel_-_Intel64"
